InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
i3.xlarge,us-east-1,use1-az1,3.0,0.0,0.1291
i3.xlarge,us-east-1,use1-az2,3.0,0.0,0.1358
i3.xlarge,us-east-1,use1-az5,3.0,0.0,0.1376
i3.xlarge,us-east-1,use1-az6,3.0,0.0,0.1251
i3.xlarge,us-east-1,use1-az4,3.0,0.0,0.1269
i3.4xlarge,us-east-1,use1-az1,3.0,0.0,0.5613
i3.4xlarge,us-east-1,use1-az6,3.0,0.0,0.5521
i3.4xlarge,us-east-1,use1-az3,3.0,0.0,0.4706
i3.4xlarge,us-east-1,use1-az2,3.0,0.0,0.5694
i3.4xlarge,us-east-1,use1-az5,3.0,0.0,0.5305
i3.4xlarge,us-east-1,use1-az4,3.0,0.0,0.5325
t3.nano,us-east-1,use1-az2,3.0,0.0,0.0035
t3.nano,us-east-1,use1-az4,3.0,0.0,0.0039
t3.nano,us-east-1,use1-az5,3.0,0.0,0.0037
t3.nano,us-east-1,use1-az6,3.0,0.0,0.0039
t3.nano,us-east-1,use1-az1,3.0,0.0,0.004
im4gn.2xlarge,us-east-1,use1-az6,3.0,0.0,0.3186
im4gn.2xlarge,us-east-1,use1-az4,3.0,0.0,0.2644
im4gn.2xlarge,us-east-1,use1-az2,3.0,0.0,0.2891
c5a.xlarge,us-east-1,use1-az2,3.0,0.0,0.108
c5a.xlarge,us-east-1,use1-az6,3.0,0.0,0.1051
c5a.xlarge,us-east-1,use1-az5,3.0,0.0,0.1196
c5a.xlarge,us-east-1,use1-az4,3.0,0.0,0.1043
c5a.xlarge,us-east-1,use1-az1,3.0,0.0,0.1076
m6a.8xlarge,us-east-1,use1-az4,3.0,0.0,0.9018
m6a.8xlarge,us-east-1,use1-az5,3.0,0.0,0.715
m6a.8xlarge,us-east-1,use1-az2,3.0,0.0,0.7527
m6a.8xlarge,us-east-1,use1-az6,3.0,0.0,0.7839
c6a.8xlarge,us-east-1,use1-az5,3.0,0.0,0.8023
c6a.8xlarge,us-east-1,use1-az2,3.0,0.0,0.7721
c6a.8xlarge,us-east-1,use1-az6,3.0,0.0,0.8787
