InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
c5d.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1978
t3a.xlarge,us-west-2,usw2-az4,3.0,0.0,0.0855
t3a.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1017
t3a.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1173
t3a.xlarge,us-west-2,usw2-az3,3.0,0.0,0.0971
c6gd.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.5888
c6gd.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.9437
c6gd.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.5665
c6gd.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.5605
c6i.xlarge,us-west-2,usw2-az1,3.0,0.0,0.092
c6i.xlarge,us-west-2,usw2-az4,3.0,0.0,0.1082
c6i.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1118
c6i.xlarge,us-west-2,usw2-az2,3.0,0.0,0.0827
i3.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2156
i3.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2534
i3.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2704
i3.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.3
c5a.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.6911
c5a.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.6773
c5a.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.8182
c5a.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.6431
x2gd.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.3229
x2gd.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.4458
x2gd.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.4448
x2gd.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.332
r7a.medium,us-west-2,usw2-az1,3.0,0.0,0.0222
r7a.medium,us-west-2,usw2-az4,3.0,0.0,0.0258
r7a.medium,us-west-2,usw2-az3,3.0,0.0,0.0305
t4g.large,us-west-2,usw2-az2,3.0,0.0,0.0577
t4g.large,us-west-2,usw2-az3,3.0,0.0,0.0406
t4g.large,us-west-2,usw2-az4,3.0,0.0,0.0597
t4g.large,us-west-2,usw2-az1,3.0,0.0,0.0578
r7gd.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1707
r7gd.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2032
r7gd.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2431
